Name,Team,Pos,mlbam,Age,Draft,Highest Level,B/T,Hgt/Wgt,Rank,Avg,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Six Pack,Imaginary Brick Wall,Just Baseball,MLB Pipeline,NBC Sports,Prospect 361,Prospects Live,Razzball,Roto- Baller,Roto- Prospects,Rotowire,The Athletic,TJStats
"Freeland, Alex",LAD,SS,690976,24.5,2022 #105,MLB,S/R,"6'0"" 200",123,147.43,Paywall,Paywall,150,150,Paywall,103,165,45,Paywall,Paywall,90,150,73,Paywall,150,150,187,150,Paywall,87,81
"King, Johnny",TOR,P,803516,19.6,2024 #95,A,L/L,"6'3"" 210",124,147.81,Paywall,Paywall,85,150,Paywall,85,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,106,62
"McDougal, Tanner",CHW,P,701780,22.9,2021 #155,AA,R/R,"6'5"" 185",125,148.81,Paywall,Paywall,150,150,Paywall,164,104,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Troy, Tommy",ARI,SS,694371,24.1,2023 #12,AAA,R/R,"5'9"" 197",126,149.00,Paywall,Paywall,150,91,Paywall,102,98,150,Paywall,Paywall,150,150,150,93,150,47,187,150,Paywall,168,150
"Matthews, Brice",HOU,SS,694728,23.9,2023 #28,MLB,R/R,"5'11"" 190",127,149.10,Paywall,Paywall,150,150,Paywall,109,165,93,Paywall,Paywall,150,150,150,Paywall,150,150,187,75,Paywall,168,150
"Schoolcraft, Kruz",SD,P,828244,18.8,2025 #25,A,L/L,"6'8"" 229",128,149.48,Paywall,Paywall,150,150,Paywall,145,165,95,Paywall,Paywall,150,88,150,Paywall,150,150,187,150,Paywall,168,150
"Crisantes, Demetrio",ARI,SS,702679,21.5,2022 #198,A+,R/R,"6'0"" 178",129,149.76,Paywall,Paywall,150,150,Paywall,134,165,150,Paywall,Paywall,150,150,150,Paywall,96,150,187,150,Paywall,168,150
"Perales, Luis",WAS,P,691384,22.9,2019 FA,AAA,R/R,"6'1"" 160",130,149.86,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,69,150,150,Paywall,150,150,187,150,Paywall,168,150
"Isaac, Xavier",TB,1B,800060,22.2,2022 #29,AA,L/L,"6'3"" 240",131,149.95,Paywall,Paywall,150,150,Paywall,146,165,150,Paywall,Paywall,150,150,150,98,150,91,187,150,Paywall,168,150
"Fischer, Andrew",MIL,3B,702652,21.7,2025 #20,A+,L/R,"6'1"" 210",132,151.05,Paywall,Paywall,75,150,Paywall,155,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Fuentes, Didier",ATL,P,800311,20.7,2022 FA,MLB,R/R,"6'0"" 170",133,151.62,Paywall,Paywall,150,150,Paywall,88,90,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,97
"Suarez, Santiago",TB,P,800571,21.1,2022 FA,AAA,R/R,"6'2"" 175",134,151.71,Paywall,Paywall,150,150,Paywall,154,165,150,Paywall,Paywall,150,150,150,Paywall,94,150,187,150,Paywall,168,150
"Mathews, Quinn",STL,P,687273,25.4,2023 #122,AAA,L/L,"6'5"" 188",135,153.33,Paywall,Paywall,150,150,Paywall,150,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Doughty, Braylon",CLE,P,815785,20.2,2024 #36,A,R/R,"6'1"" 196",136,153.38,Paywall,Paywall,150,150,Paywall,71,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,92
"De Leon, Luis",BAL,P,801725,22.9,2021 FA,AA,L/L,"6'3"" 168",137,153.43,Paywall,Paywall,150,150,Paywall,172,64,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Forret, Michael",TB,P,702650,21.9,2023 #421,AA,L/R,"6'3"" 190",138,153.90,Paywall,Paywall,150,150,Paywall,158,92,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,55
"Escobar, Aroon",PHI,3B,800169,21.1,2022 FA,AA,R/R,"5'10"" 180",139,154.86,Paywall,Paywall,78,150,Paywall,197,165,150,Paywall,Paywall,150,150,150,72,150,150,101,150,Paywall,86,150
"Hill, Dasan",MIN,P,815598,20.2,2024 #69,A+,R/L,"6'5"" 165",140,155.29,Paywall,Paywall,150,150,Paywall,161,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,61
"Rojas, Jefferson",CHC,SS,800473,20.8,2022 FA,AA,R/R,"5'11"" 150",141,155.57,Paywall,Paywall,150,150,Paywall,107,55,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,79,150
"Mejia, Esteban",BAL,P,821757,19.0,2024 FA,A,R/R,"6'3"" 175",142,155.90,Paywall,Paywall,150,150,Paywall,139,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Alcantara, Kevin",CHC,OF,682634,23.6,2018 FA,MLB,R/R,"6'6"" 188",143,156.52,Paywall,Paywall,150,150,Paywall,300,60,150,Paywall,Paywall,150,150,82,Paywall,150,150,187,150,Paywall,41,150
"Ingle, Cooper",CLE,C,694876,24.0,2023 #125,AAA,L/R,"5'8"" 190",144,156.81,Paywall,Paywall,65,150,Paywall,180,165,150,Paywall,Paywall,150,99,150,99,150,150,187,150,Paywall,168,150
"Murphy, Owen",ATL,P,702566,22.4,2022 #20,A+,R/R,"6'1"" 190",145,157.43,Paywall,Paywall,150,92,Paywall,192,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Alvarez, Kevin",HOU,OF,829037,18.1,2025 FA,R,L/L,"6'4"" 184",145,157.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,90,Paywall,150,150,118,150,Paywall,168,150
"Collier, Cam",CIN,3B,702253,21.3,2022 #18,AA,L/R,"6'1"" 210",147,157.71,Paywall,Paywall,150,150,Paywall,187,165,94,Paywall,Paywall,150,150,96,Paywall,150,150,187,150,Paywall,168,150
"Neyens, Xavier",HOU,SS,815832,19.3,2025 #21,,L/R,"6'4"" 210",148,157.90,Paywall,Paywall,150,150,Paywall,185,165,150,Paywall,Paywall,150,150,150,Paywall,85,150,187,150,Paywall,168,150
"Letson, Bishop",MIL,P,811309,21.4,2023 #332,AA,R/R,"6'4"" 170",149,158.05,Paywall,Paywall,150,150,Paywall,91,165,150,Paywall,Paywall,150,150,150,Paywall,98,150,187,150,Paywall,168,150
"Salas, Ethan",SD,C,806956,19.7,2023 FA,AA,L/R,"6'1"" 185",150,158.24,Paywall,Paywall,150,150,Paywall,110,110,77,Paywall,Paywall,100,150,71,79,150,150,187,150,Paywall,70,94
"Corniell, Jose",TEX,P,692030,22.7,2019 FA,MLB,R/R,"6'3"" 165",151,158.67,Paywall,Paywall,150,150,Paywall,116,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bradfield, Enrique Jr.",BAL,OF,690961,24.2,2023 #17,AAA,L/L,"6'0"" 170",152,158.76,Paywall,Paywall,150,150,Paywall,135,165,150,Paywall,Paywall,150,150,94,Paywall,150,150,187,150,Paywall,97,150
"Ferris, Jackson",LAD,P,701328,22.1,2022 #47,AA,L/L,"6'4"" 195",153,160.29,Paywall,Paywall,150,150,Paywall,128,165,98,Paywall,Paywall,150,150,92,Paywall,150,150,123,150,Paywall,168,150
"Asigen, Wandy",NYM,SS,836583,16.5,2026 FA,,L/R,"6'0"" 180",154,161.10,Paywall,Paywall,150,150,Paywall,191,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,82,150,Paywall,168,150
"Pena, Elian",NYM,SS,829033,18.3,2025 FA,R,L/R,"5'10"" 180",155,161.86,Paywall,Paywall,150,150,Paywall,115,165,150,Paywall,Paywall,150,150,84,Paywall,150,64,103,150,Paywall,168,150
"Kilen, Gavin",SF,SS,702264,21.9,2025 #13,A,L/R,"5'11"" 187",156,162.24,Paywall,Paywall,150,150,Paywall,173,165,150,Paywall,Paywall,150,150,97,Paywall,150,150,187,150,Paywall,69,150
"Dickerson, Luke",WAS,SS,815380,20.5,2024 #44,A,R/R,"5'11"" 197",157,163.24,Paywall,Paywall,150,150,Paywall,121,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Hammond, Josh",KC,SS,815843,19.4,2025 #28,,R/R,"6'1"" 210",158,164.00,Paywall,Paywall,150,150,Paywall,132,165,150,Paywall,Paywall,150,150,150,Paywall,87,150,187,150,Paywall,168,150
"Rodriguez, Hector",CIN,OF,699302,21.9,2021 FA,AAA,L/R,"5'10"" 200",159,164.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Johnson, Termarr",PIT,SS,702261,21.7,2022 #4,AA,L/R,"5'8"" 190",160,164.67,Paywall,Paywall,150,150,Paywall,129,165,150,Paywall,Paywall,150,150,150,65,150,150,187,150,Paywall,168,150
"Renteria, Francisco",PHI,OF,836353,17.1,2026 FA,,R/R,"6'3"" 216",161,164.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,77,150,Paywall,168,150
"Valera, Juan",BOS,P,813536,19.8,2023 FA,A+,R/R,"6'3"" 205",162,164.90,Paywall,Paywall,150,150,Paywall,90,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Gonzales, Justin",BOS,OF,821100,19.1,2024 FA,A+,R/R,"6'4"" 210",163,164.95,Paywall,Paywall,82,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Nichols, T.J.",TB,P,694375,23.7,2023 #183,AA,R/R,"6'5"" 189",164,165.38,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Pierce, Daniel",TB,SS,828084,19.5,2025 #14,,R/R,"6'0"" 185",165,166.14,Paywall,Paywall,150,150,Paywall,194,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,96,150
"Gonzalez, Gabriel",MIN,OF,694224,22.1,2021 FA,AAA,R/R,"5'11"" 165",166,166.33,Paywall,Paywall,150,150,Paywall,130,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Rada, Nelson",LAA,OF,703185,20.5,2022 FA,AAA,L/L,"5'9"" 185",167,166.71,Paywall,Paywall,150,150,Paywall,160,165,150,Paywall,Paywall,150,150,150,Paywall,150,98,187,150,Paywall,168,150
"Alderman, Kemp",MIA,OF,694580,23.5,2023 #47,AAA,R/R,"6'2"" 235",168,168.33,Paywall,Paywall,150,97,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,96,124,150,Paywall,168,150
"Colome, Johenssy",ATH,SS,836584,17.3,2026 FA,,R/R,"6'2"" 190",168,168.33,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,84,150,Paywall,168,150
"Cunningham, Kayson",ARI,SS,815617,19.7,2025 #18,A,L/R,"5'10"" 182",170,169.52,Paywall,Paywall,150,150,Paywall,136,165,150,Paywall,Paywall,150,150,95,Paywall,150,150,116,150,Paywall,168,150
"LaViolette, Jace",CLE,OF,702593,22.2,2025 #27,,L/L,"6'6"" 230",171,169.62,Paywall,Paywall,150,150,Paywall,188,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Wilken, Brock",MIL,3B,694385,23.7,2023 #18,AA,R/R,"6'4"" 225",172,170.19,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Carrigg, Cole",COL,OF,694249,23.8,2023 #65,AA,S/R,"6'2"" 200",173,170.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,80,150,150,187,150,Paywall,168,150
"Hagaman, David",ARI,P,701908,22.9,2024 #133,A+,R/R,"6'4"" 215",174,170.71,Paywall,Paywall,150,150,Paywall,171,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Long, Jonathon",CHC,1B,675085,24.1,2023 #266,AAA,R/R,"5'11"" 210",175,170.81,Paywall,Paywall,150,95,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,46,150,Paywall,168,150
"Aloy, Wehiwa",BAL,SS,814450,22.0,2025 #31,A,R/R,"6'2"" 200",176,171.19,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,88,150,150,187,150,Paywall,73,150
"Hess, Ben",NYY,P,696292,23.5,2024 #26,AA,R/R,"6'5"" 255",176,171.19,Paywall,Paywall,89,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Shields, David",KC,P,815789,19.4,2024 #41,A,S/L,"6'2"" 210",178,171.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,115,150,Paywall,168,150
"Payne, Braylon",MIL,OF,815520,19.5,2024 #17,A,L/L,"6'2"" 186",178,171.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,93,187,150,Paywall,168,150
"Smith, Aidan",TB,OF,806223,21.6,2023 #124,A+,R/R,"6'2"" 190",180,171.62,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,86,150,Paywall,168,150
"Frey, Ethan",HOU,OF,703676,21.9,2025 #95,A,R/R,"6'6"" 225",181,171.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Rojas, Kendry",MIN,P,696070,23.2,2020 FA,AAA,L/L,"6'2"" 190",182,172.43,Paywall,Paywall,150,150,Paywall,163,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"King, Seaver",WAS,SS,814409,22.8,2024 #10,AA,R/R,"6'0"" 195",183,174.10,Paywall,Paywall,150,150,Paywall,182,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,94,150
"Santucci, Jonathan",NYM,P,695558,23.1,2024 #46,AA,L/L,"6'2"" 205",184,174.14,Paywall,Paywall,150,150,Paywall,176,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Gomez, Angeibel",KC,OF,825412,17.2,2026 FA,,R/R,"6'2"" 173",185,174.48,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"De Brun, Slater",TB,OF,828173,18.7,2025 #37,,L/L,"5'10"" 187",186,174.86,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Becker, Nick",SEA,SS,829306,19.2,2025 #57,A,R/R,"6'4"" 190",187,175.05,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bolte, Henry",ATH,OF,703607,22.5,2022 #56,AAA,R/R,"6'3"" 195",188,175.38,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Imai, Tatsuya",HOU,P,837227,27.8,2026 FA,,R/R,"5'11"" 176",189,175.48,Paywall,Paywall,150,32,Paywall,300,165,150,Paywall,25,150,150,150,31,150,51,187,39,Paywall,168,150
"Johnson, Ryan",LAA,P,696270,23.5,2024 #74,MLB,S/R,"6'6"" 215",190,175.95,Paywall,Paywall,150,150,Paywall,149,165,96,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Rosario, Alejandro",WAS,P,691730,24.1,2023 #144,AA,R/R,"6'1"" 182",191,176.14,Paywall,Paywall,150,150,Paywall,190,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,122,150,Paywall,168,150
"Johnson, Ty",TB,P,694494,24.4,2023 #446,AA,R/R,"6'6"" 205",192,176.29,Paywall,Paywall,95,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Rodriguez, Cris",DET,OF,829038,18.1,2025 FA,R,R/R,"6'3"" 203",193,176.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,76,Paywall,150,150,119,150,Paywall,168,150
"Anderson, Max",DET,2B,801194,24.0,2023 #45,AAA,R/R,"6'0"" 215",193,176.52,Paywall,Paywall,150,150,Paywall,101,165,150,Paywall,Paywall,150,150,150,Paywall,150,97,187,150,Paywall,91,150
"Mayfield, Kash",SD,P,824026,21.0,2024 #25,A,L/L,"6'4"" 200",195,177.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Stanifer, Gage",TOR,P,804948,22.3,2022 #578,AA,R/R,"6'3"" 208",196,177.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,95
"Caceres, Juneiker",CLE,OF,821181,18.5,2024 FA,A,L/L,"5'10"" 168",197,177.52,Paywall,Paywall,150,150,Paywall,152,165,150,Paywall,Paywall,86,150,150,Paywall,150,150,187,150,Paywall,168,58
"Davalan, Charles",LAD,OF,804560,22.2,2025 #41,A,L/R,"5'9"" 190",198,177.62,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Dix, JD",ARI,SS,807267,20.4,2024 #35,A,S/R,"6'2"" 180",199,178.29,Paywall,Paywall,150,150,Paywall,122,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Adams, Luke",MIL,3B,702726,21.8,2022 #372,AA,R/R,"6'4"" 210",200,178.67,Paywall,Paywall,150,150,Paywall,148,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,93,150,Paywall,168,150
"Brito, Roldy",COL,3B,821041,18.9,2024 FA,A,S/R,"5'11"" 183",201,178.81,Paywall,Paywall,150,150,Paywall,300,99,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,106,150
"Clemmey, Alex",WAS,P,806046,20.6,2023 #58,AA,L/L,"6'6"" 205",202,179.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Soto, Dorian",BOS,SS,829039,18.0,2025 FA,R,S/R,"6'2"" 180",203,180.48,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Lee, Hao-Yu",DET,2B,701678,23.0,2021 FA,AAA,R/R,"5'9"" 190",204,180.62,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Ko, Ching-Hsien",LAD,OF,828667,19.5,2024 FA,A,L/R,"6'3"" 215",205,181.05,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,106,150
"Chourio, Jaison",CLE,OF,702693,20.8,2022 FA,A+,S/R,"6'0"" 188",206,181.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Lin, Wei-En",ATH,P,827734,20.3,2024 FA,AA,L/L,"6'2"" 179",207,182.05,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,76
"Gamble, Sean",KC,OF,815819,19.6,2025 #23,,L/R,"6'1"" 188",208,182.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Summerhill, Brendan",TB,OF,804911,22.3,2025 #42,A,L/R,"6'3"" 200",209,182.38,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Okamoto, Kazuma",TOR,3B,672960,29.6,2026 FA,,R/R,"6'1"" 220",210,182.67,Paywall,Paywall,150,58,Paywall,300,165,150,Paywall,Paywall,150,150,150,47,150,28,187,94,Paywall,168,150
"Adamczewski, Josh",MIL,SS,815304,20.8,2023 #452,A+,L/R,"6'0"" 190",211,182.81,Paywall,Paywall,150,150,Paywall,153,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Winokur, Brandon",MIN,OF,806263,21.2,2023 #82,A+,R/R,"6'6"" 210",212,183.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Voit, Mitch",NYM,2B,702491,21.4,2025 #38,A,R/R,"6'0"" 201",213,183.57,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Prielipp, Connor",MIN,P,687570,25.1,2022 #48,AAA,L/L,"6'2"" 210",214,184.05,Paywall,Paywall,150,150,Paywall,54,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,75
"Oppor, Christian",CHW,P,803291,21.6,2023 #152,A+,L/L,"6'2"" 175",215,184.76,Paywall,Paywall,150,150,Paywall,118,95,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Mitchell, Blake",KC,C,805810,21.5,2023 #8,A+,L/R,"6'1"" 202",216,184.95,Paywall,Paywall,150,150,Paywall,143,106,62,Paywall,Paywall,150,75,150,Paywall,150,150,187,150,Paywall,56,150
"Hence, Tink",STL,P,693311,23.5,2020 #63,AA,R/R,"6'1"" 195",217,185.00,Paywall,Paywall,150,150,Paywall,179,165,150,Paywall,Paywall,150,150,150,90,150,150,187,150,Paywall,168,150
"Cunningham, Bryce",NYY,P,701480,23.2,2024 #53,A+,R/R,"6'5"" 230",218,185.05,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Taylor, Devin",ATH,OF,805127,22.1,2025 #48,A,L/R,"6'1"" 215",218,185.05,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Santos, Winston",TEX,P,692437,23.9,2019 FA,AAA,R/R,"6'0"" 160",220,186.19,Paywall,Paywall,150,150,Paywall,141,103,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Gasser, Robert",MIL,P,688107,26.7,2021 #71,MLB,L/L,"6'0"" 192",221,187.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Clarke, Brandon",STL,P,700251,22.9,2024 #148,A+,L/L,"6'4"" 220",222,187.57,Paywall,Paywall,150,150,Paywall,193,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Perez, Jeral",CHW,3B,800419,21.3,2022 FA,A+,R/R,"6'0"" 179",222,187.57,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Guerrero, Brailer",TB,OF,806967,19.7,2023 FA,A,L/R,"6'1"" 215",224,187.90,Paywall,Paywall,150,150,Paywall,184,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Defrank, Kevin",MIA,P,829074,17.5,2025 FA,R,R/R,"6'5"" 202",225,188.48,Paywall,Paywall,150,150,Paywall,137,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Murakami, Munetaka",CHW,3B,808959,26.1,2025 FA,,L/R,"6'2"" 213",226,189.00,Paywall,Paywall,150,45,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,40,Paywall,168,150
"Bratt, Mitch",ARI,P,683352,22.6,2021 #134,AA,L/L,"6'1"" 190",227,189.33,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Estrada, Aron",BAL,2B,800406,21.1,2022 FA,AA,S/R,"5'8"" 142",228,189.38,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Gil, John",ATL,SS,808535,19.8,2023 FA,AA,R/R,"6'1"" 175",229,189.57,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Davalillo, David",TEX,P,699314,23.4,2021 FA,AA,R/R,"6'1"" 175",230,189.71,Paywall,Paywall,150,150,Paywall,300,89,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Zazueta, Christian",LAD,P,800537,21.4,2022 FA,A+,R/R,"6'3"" 163",231,190.29,Paywall,Paywall,150,150,Paywall,156,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Wenninger, Jack",NYM,P,811307,23.9,2023 #186,AA,L/R,"6'4"" 210",232,191.71,Paywall,Paywall,150,150,Paywall,300,79,150,Paywall,Paywall,87,150,150,Paywall,150,150,187,150,Paywall,168,90
"Overn, Austin",TB,OF,702556,22.8,2024 #97,AA,L/R,"6'0"" 175",233,192.05,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Brito, Anderson",TB,P,820901,21.6,2023 FA,A+,R/R,"5'10"" 155",234,193.14,Paywall,Paywall,150,150,Paywall,174,165,150,Paywall,Paywall,150,150,150,Paywall,84,150,187,150,Paywall,168,150
"Sanchez, Juan",TOR,SS,825646,18.4,2025 FA,R,R/R,"6'3"" 180",235,193.48,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Blubaugh, AJ",HOU,P,805123,25.6,2022 #223,AAA,R/R,"6'2"" 190",236,193.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Veen, Zac",COL,OF,691728,24.2,2020 #9,MLB,L/R,"6'3"" 190",237,194.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Kepley, Kane",CHC,OF,823807,22.0,2025 #56,A,L/L,"5'8"" 180",238,194.19,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Tornes, Diego",ATL,OF,829053,17.6,2025 FA,R,S/R,"6'2"" 178",239,194.29,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Houston, Marek",MIN,SS,701339,21.9,2025 #16,A+,R/R,"6'3"" 205",240,194.86,Paywall,Paywall,150,150,Paywall,166,165,150,Paywall,Paywall,150,150,150,95,150,150,187,150,Paywall,168,150
"Fauske, Jaden",CHW,OF,828262,19.2,2025 #44,,L/R,"6'3"" 200",241,194.95,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Lewis, Dillon",MIA,OF,827665,22.7,2024 #391,A+,R/R,"6'3"" 205",242,195.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
